objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll022,hd022.jpg,,,"San Francisco, California, I-Beam",,1984-12-17,I-Beam,Hüsker Dü; I-Beam; flyers,"San Francisco, California",37.7696692,-122.4532986,Lenny Crunch,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll023,hd023.jpg,,,"Los Angeles, California, UCLA Ackerman Grand Ballroom",,1985-03-02,"UCLA Ackerman Grand Ballroom - SST tour with Minutemen, Meat Puppets, Saccharine Trust, and SWA",Hüsker Dü; UCLA Ackerman Grand Ballroom; flyers,"Los Angeles, California",34.0704224,-118.4463338,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll024,hd024.jpg,,,"Washington, DC, Nightclub 9:30",,1985-05-12,Nightclub 9:30,Hüsker Dü; Nightclub 9:30; flyers,"Washington, DC",38.89714,-77.0275882,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll025,hd025.jpg,,,"Ft. Lauderdale, Florida, Fireman's Hall",,1985-05-31,Fireman's Hall,Hüsker Dü; Fireman's Hall; flyers,"Ft. Lauderdale, Florida",26.0926142,-80.1469025,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll026,hd026.jpg,,,"Deventer, Netherlands, Burgerweeshuis",,1985-09-08,Burgerweeshuis,Hüsker Dü; Burgerweeshuis; flyers,"Deventer, Netherlands",52.2544477,6.1530891,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll027,hd027.jpg,,,"Bregenz, Austria, Remise",,1985-09-18,Remise,Hüsker Dü; Remise; flyers,"Bregenz, Austria",47.5041414,9.7348809,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll028,hd028.jpg,,,"Geneva, Switzerland, Le Bouffon",Pedro Jimenez,1985-09-20,Le Bouffon,Hüsker Dü; Le Bouffon; flyers,"Geneva, Switzerland",46.1944508,6.1411429,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll029,hd029.jpg,,,"Lakewood, Ohio, Phantasy",,1986-02-01,Phantasy,Hüsker Dü; Phantasy; flyers,"Lakewood, Ohio",41.4839194,-81.7727591,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll030,hd030.jpg,,,"Blacksburg, Virginia, The Union (Virginia Tech)",,1986-02-11,The Union (Virginia Tech),Hüsker Dü; The Union; flyers,"Blacksburg, Virginia",37.2295613,-80.4202095,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll031,hd031.jpg,,,"Edinburgh, Scotland, Potterrow (Edinburgh University)",,1986-03-14,Potterrow (Edinburgh University),Hüsker Dü; Potterrow; flyers,"Edinburgh, Scotland",55.945797,-3.189276,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll032,hd032.gif,,,"Sacramento, California, Club Can't Tell",,1986-05-11,Club Can't Tell - with Descendents,Hüsker Dü; Club Can't Tell; flyers,"Sacramento, California",38.5785591,-121.4923354,,,Image;StillImage,image/gif,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll033,hd033.jpg,,,"Charlottesville, Virginia, Student Union (University of Virginia)",,1987-02-24,"Student Union, University of Virginia - with The DB's",Hüsker Dü; UVA Student Union; flyers,"Charlottesville, Virginia",38.0489591,-78.5639105,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll034,hd034.jpg,,,"New Orleans, Louisiana, McAlister Auditorium (Tulane University)",,1987-04-15,"McAlister Auditorium, Tulane University",Hüsker Dü; McAlister Auditorium; flyers,"New Orleans, Louisiana",29.9399179,-90.1210881,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll035,hd035.jpg,,,"Chicago, Illinois, University of Chicago Mandel Hall",David Flores,1987-10-09,University of Chicago Mandel Hall - with Soul Asylum,Hüsker Dü; University of Chicago Mandel Hall; flyers,"Chicago, Illinois",41.7907754,-87.600585,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll036,hd036.jpg,,,"Green Bay, Wisconsin, Riverside Ballroom",,1987-12-07,Riverside Ballroom - with Die Kreuzen,Hüsker Dü; Riverside Ballroom; flyers,"Green Bay, Wisconsin",44.5047248,-87.9894107,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll037,hd037.jpg,,,"Columbia, Missouri, Blue Note",,1987-12-11,"Blue Note - 'Don't Miss This Show' - This was the last Hüsker Dü concert, although no one knew that at the time",Hüsker Dü; Blue Note; flyers,"Columbia, Missouri",38.9521652,-92.3298777,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll038,hd038.gif,,,,,1988-01-28,"Bob's resignation letter - 'Please be advised that as of this date, Bob Mould has ceased to be an actively performing member of Husker Du'",Hüsker Dü; Bob's resignation,,,,,,Image;StillImage,image/gif,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
